slot,hour,et0_mm,rainProb,tariff_eur_per_m3,concurrency,zone,minutes,theta_after,slotScore,note
0,00.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
0,00.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
1,00.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
1,00.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
2,00.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
2,00.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
3,00.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
3,00.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
4,01.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
4,01.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
5,01.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
5,01.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
6,01.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
6,01.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
7,01.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
7,01.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
8,02.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
8,02.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
9,02.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
9,02.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
10,02.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
10,02.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
11,02.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
11,02.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
12,03.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
12,03.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
13,03.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
13,03.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
14,03.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
14,03.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
15,03.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
15,03.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
16,04.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
16,04.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
17,04.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
17,04.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
18,04.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
18,04.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
19,04.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
19,04.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
20,05.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
20,05.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
21,05.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
21,05.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
22,05.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
22,05.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
23,05.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
23,05.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
24,06.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
24,06.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
25,06.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
25,06.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
26,06.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
26,06.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
27,06.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
27,06.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
28,07.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
28,07.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
29,07.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
29,07.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
30,07.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
30,07.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
31,07.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
31,07.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
32,08.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
32,08.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
33,08.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
33,08.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
34,08.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
34,08.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
35,08.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
35,08.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
36,09.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
36,09.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
37,09.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
37,09.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
38,09.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
38,09.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
39,09.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
39,09.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
40,10.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
40,10.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
41,10.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
41,10.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
42,10.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
42,10.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
43,10.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
43,10.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
44,11.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
44,11.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
45,11.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
45,11.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
46,11.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
46,11.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
47,11.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
47,11.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
48,12.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
48,12.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
49,12.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
49,12.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
50,12.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
50,12.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
51,12.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
51,12.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
52,13.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
52,13.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
53,13.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
53,13.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
54,13.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
54,13.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
55,13.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
55,13.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
56,14.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
56,14.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
57,14.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
57,14.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
58,14.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
58,14.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
59,14.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
59,14.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
60,15.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
60,15.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
61,15.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
61,15.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
62,15.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
62,15.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
63,15.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
63,15.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
64,16.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
64,16.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
65,16.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
65,16.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
66,16.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
66,16.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
67,16.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
67,16.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
68,17.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
68,17.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
69,17.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
69,17.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
70,17.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
70,17.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
71,17.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,window closed
71,17.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,window closed
72,18.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
72,18.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
73,18.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
73,18.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
74,18.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
74,18.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
75,18.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
75,18.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
76,19.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
76,19.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
77,19.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
77,19.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
78,19.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
78,19.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
79,19.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
79,19.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
80,20.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
80,20.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
81,20.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
81,20.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
82,20.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
82,20.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
83,20.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
83,20.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
84,21.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
84,21.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
85,21.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
85,21.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
86,21.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
86,21.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
87,21.00,0.00,0.00,2.00,0,zoneA,0,0.000,0.000,
87,21.00,0.00,0.00,2.00,0,zoneB,0,0.000,0.000,
88,22.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
88,22.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
89,22.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
89,22.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
90,22.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
90,22.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
91,22.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
91,22.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
92,23.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
92,23.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
93,23.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
93,23.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
94,23.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
94,23.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
95,23.00,0.00,0.00,1.00,0,zoneA,0,0.000,0.000,
95,23.00,0.00,0.00,1.00,0,zoneB,0,0.000,0.000,
